artist_name	artist_page_url	gender	born	position	genres	site	booking	external_links
Lee Burridge	/artist/11074:Lee-Burridge	man	Verenigd Koninkrijk	DJ	progressive trance	http://www.leeburridge.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/leeburridge', 'twitter': 'https://partyflock.nlhttps://twitter.com/leebu', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/140855892645152', 'itunes': 'https://partyflock.nlhttp://itunes.apple.com/artist/lee-burridge/id262825528'}
Kode9	/artist/31377:Kode9	man	Verenigd Koninkrijk	DJ	dubstep			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/kodenine', 'twitter': 'https://partyflock.nlhttps://twitter.com/kodenine', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/kode9/', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/5Z3GyWBvJZgJ35TS0cmXll'}
DJ Fett Burger								
Trevor Jackson	/artist/68699:Trevor-Jackson	man	Verenigd Koninkrijk	DJ	house	http://trevor-jackson.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/TREVOR-JACKSON', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/743670700'}
Job Jobse	/artist/57374:Job-Jobse	man	Nederland	DJ	deephouse, disco, house			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/jobjobse', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/255055421196558'}
LCD Soundsystem	/artist/24813:LCD-Soundsystem	man	Verenigde Staten	live act, soundsystem, band	disco, house, punk	http://www.lcdsoundsystem.com/		{'twitter': 'https://partyflock.nlhttps://twitter.com/lcdsoundsystem', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/12429835443', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/lcdsoundsystem/'}
Joyce Muniz	/artist/70507:Joyce-Muniz	vrouw	Brazilië	DJ	deephouse, electro, house, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/joytoy', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/156285467749732', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/joycemunizmusic/'}
Roman Flügel	/artist/20776:Roman-Flugel	man	Duitsland	DJ	electro	http://romanfluegel.de/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/roman-fluegel', 'twitter': 'https://partyflock.nlhttps://twitter.com/romanfluegel', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/136401399715378', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UC2ujHf8A3M3YMdClInL_KdA', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/2GvwZbDjH1DbQpodGKENDw'}
Tensnake	/artist/54731:Tensnake	man	Duitsland	DJ, live act	house, minimal	http://www.tensnake.com/		{'soundcloud': 'https://partyflock.nlhttps://www.soundcloud.com/tensnake', 'twitter': 'https://partyflock.nlhttps://www.twitter.com/tensnake', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/44973344453', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/tensnake'}
Joel Mull	/artist/377:Joel-Mull	man	Zweden	DJ, producer	electro, house, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/joelmull', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/joel_mull/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/55643268108', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/5YkaiMo0QXuVtdWycChYSP'}
Jlin	/artist/93492:Jlin	vrouw	Verenigde Staten	DJ, live act			http://planet.mu/artists/jlin/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/jlinnarlei', 'twitter': 'https://partyflock.nlhttps://twitter.com/Jlin_P', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/248981191792930', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/jlin_p/'}
Kerri Chandler	/artist/7377:Kerri-Chandler		Verenigde Staten	DJ	house	http://www.kerrichandler.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/kerri-chandler', 'itunes': 'https://partyflock.nlhttp://itunes.apple.com/artist/kerri-chandler/id7232907', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/414449598607604', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/Kerri623Chandler'}
Marco Shuttle	/artist/74656:Marco-Shuttle	man	Italië	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/marco_shuttle', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/657686867620346'}
