artist_name	gender	event_id	date	venue_namevenue_id	city	country
[a]pendics.shuffle	Male	136778	2010-01-22T00:00			
[a]pendics.shuffle	Male	149468	2010-02-26T00:00			
[a]pendics.shuffle	Male	141650	2010-03-25T00:00			
[a]pendics.shuffle	Male	165754	2010-05-21T00:00			
[a]pendics.shuffle	Male	165835	2010-06-05T00:00			
[a]pendics.shuffle	Male	176142	2010-07-08T00:00			
[a]pendics.shuffle	Male	173148	2010-07-10T00:00			
[a]pendics.shuffle	Male	180501	2010-08-08T00:00			
[a]pendics.shuffle	Male	193210	2010-10-08T00:00			
[a]pendics.shuffle	Male	210121	2010-10-30T00:00			
[a]pendics.shuffle	Male	80118	2009-01-14T00:00			
[a]pendics.shuffle	Male	80540	2009-01-16T00:00			
[a]pendics.shuffle	Male	80899	2009-01-17T00:00			
[a]pendics.shuffle	Male	81633	2009-01-23T00:00			
[a]pendics.shuffle	Male	84284	2009-02-15T00:00			
[a]pendics.shuffle	Male	87560	2009-03-14T00:00			
[a]pendics.shuffle	Male	88801	2009-03-15T00:00			
[a]pendics.shuffle	Male	83403	2009-03-26T00:00			
[a]pendics.shuffle	Male	93625	2009-05-01T00:00			
[a]pendics.shuffle	Male	96510	2009-05-08T00:00			
[a]pendics.shuffle	Male	98686	2009-05-16T00:00			
[a]pendics.shuffle	Male	100677	2009-05-29T00:00			
[a]pendics.shuffle	Male	105076	2009-06-25T00:00			
[a]pendics.shuffle	Male	110590	2009-07-30T00:00			
[a]pendics.shuffle	Male	113538	2009-08-29T00:00			
[a]pendics.shuffle	Male	107656	2009-09-19T00:00			
[a]pendics.shuffle	Male	105903	2009-09-24T00:00			
[a]pendics.shuffle	Male	114491	2009-09-25T00:00			
[a]pendics.shuffle	Male	120806	2009-10-10T00:00			
[a]pendics.shuffle	Male	122674	2009-10-30T00:00			
[a]pendics.shuffle	Male	126380	2009-11-12T00:00			
[a]pendics.shuffle	Male	125265	2009-11-26T00:00			
[a]pendics.shuffle	Male	123550	2009-11-28T00:00			
[a]pendics.shuffle	Male	40575	2008-01-19T00:00			
[a]pendics.shuffle	Male	42685	2008-02-23T00:00			
[a]pendics.shuffle	Male	45672	2008-03-15T00:00			
[a]pendics.shuffle	Male	45608	2008-03-21T00:00			
[a]pendics.shuffle	Male	45368	2008-03-27T00:00			
[a]pendics.shuffle	Male	49687	2008-04-20T00:00			
[a]pendics.shuffle	Male	49596	2008-04-25T00:00			
[a]pendics.shuffle	Male	49712	2008-04-26T00:00			
[a]pendics.shuffle	Male	52372	2008-05-24T00:00			
[a]pendics.shuffle	Male	56293	2008-06-21T00:00			
[a]pendics.shuffle	Male	63234	2008-08-29T00:00			
[a]pendics.shuffle	Male	55727	2008-09-25T00:00			
[a]pendics.shuffle	Male	62438	2008-09-25T00:00			
